stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000361021	9606.ENSP00000269305	PTEN	TP53	9606	0.999	0	0	0	0.067	0.748	0.9	0.968
9606.ENSP00000361021	9606.ENSP00000346151	PTEN	MAGI2	9606	0.998	0	0	0	0	0.523	0.9	0.974
9606.ENSP00000361021	9606.ENSP00000428056	PTEN	PIK3R1	9606	0.997	0	0	0	0.056	0.554	0.9	0.943
9606.ENSP00000361021	9606.ENSP00000345731	PTEN	DLG1	9606	0.996	0	0	0	0.081	0.636	0.9	0.904
9606.ENSP00000361021	9606.ENSP00000341189	PTEN	PTK2	9606	0.995	0	0	0	0	0.801	0.9	0.808
9606.ENSP00000361021	9606.ENSP00000263967	PTEN	PIK3CA	9606	0.995	0	0	0	0.112	0.134	0.9	0.949
9606.ENSP00000361021	9606.ENSP00000354671	PTEN	MAST2	9606	0.993	0	0	0	0	0.948	0	0.878
9606.ENSP00000361021	9606.ENSP00000288368	PTEN	PREX2	9606	0.99	0	0	0	0	0	0.7	0.968
9606.ENSP00000361021	9606.ENSP00000377001	PTEN	SPOP	9606	0.99	0	0	0	0.115	0.972	0	0.644
9606.ENSP00000361021	9606.ENSP00000451828	PTEN	AKT1	9606	0.988	0	0	0	0	0.648	0	0.967
9606.ENSP00000361021	9606.ENSP00000222254	PTEN	PIK3R2	9606	0.985	0	0	0	0	0.313	0.9	0.806
9606.ENSP00000361021	9606.ENSP00000352069	PTEN	WWP2	9606	0.984	0	0	0	0.055	0.876	0.4	0.808
9606.ENSP00000361021	9606.ENSP00000424827	PTEN	NEDD4	9606	0.984	0	0	0	0.047	0.909	0.4	0.741
9606.ENSP00000361021	9606.ENSP00000501150	PTEN	PIK3CB	9606	0.984	0	0	0	0.058	0.134	0.9	0.829
9606.ENSP00000361021	9606.ENSP00000262613	PTEN	SLC9A3R1	9606	0.982	0	0	0	0	0.825	0	0.905
9606.ENSP00000361021	9606.ENSP00000324856	PTEN	STK11	9606	0.979	0	0	0	0	0.331	0	0.971
9606.ENSP00000361021	9606.ENSP00000343535	PTEN	USP7	9606	0.979	0	0	0	0.088	0.796	0.5	0.8
9606.ENSP00000361021	9606.ENSP00000366563	PTEN	PIK3CD	9606	0.973	0	0	0	0.058	0.134	0.9	0.708
9606.ENSP00000361021	9606.ENSP00000304604	PTEN	MAGI3	9606	0.972	0	0	0	0	0.294	0	0.962
9606.ENSP00000361021	9606.ENSP00000497733	PTEN	CDC42	9606	0.971	0	0	0	0.057	0.099	0.9	0.704
